,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,
Topic: Total Divorces,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Divorces, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Series,Total Divorces And Annulments ,Total Divorces And Annulments -> Total Divorces ,"Total Divorces And Annulments -> Total Divorces -> Divorces Under The Women's Charter ",Total Divorces And Annulments -> Total Divorces -> Divorces Under The Administration Of Muslim Law Act ,"Total Divorces And Annulments -> Annulments Under The Women's Charter ",Median Age Of Male Divorcees ,"Median Age Of Male Divorcees -> Under The Women's Charter ",Median Age Of Male Divorcees -> Under The Administration Of Muslim Law Act ,Median Age Of Female Divorcees ,"Median Age Of Female Divorcees -> Under The Women's Charter ",Median Age Of Female Divorcees -> Under The Administration Of Muslim Law Act ,Median Duration Of Marriage For Divorces ,"Median Duration Of Marriage For Divorces -> Under The Women's Charter ",Median Duration Of Marriage For Divorces -> Under The Administration Of Muslim Law Act ,"Median Duration Of Marriage For Annulments Under The Women's Charter "
  2022,7107,6922,5417,1505,185,44.4,45.3,40.6,40.5,41.1,38,10.9,11.8,8.1,1.9
  2021,7890,7674,5907,1767,216,43.9,44.8,40.4,40,40.7,37.5,10.7,11.6,8.1,2.1
  2020,6959,6708,5110,1598,251,43.2,44,39.6,39.5,40.2,37,10.4,11,8.1,2.2
  2019,7623,7330,5633,1697,293,43.4,44,40.6,39.3,39.8,37.7,10.4,11,8.4,1.9
  2018,7344,6990,5308,1682,354,43.2,44,40.3,38.9,39.5,36.9,10.2,10.7,8.5,1.9
  2017,7578,7207,5570,1637,371,43.2,43.7,41.4,39.1,39.5,37.2,10.3,10.5,9.2,1.9
  2016,7614,7207,5505,1702,407,42.8,43.3,40.7,38.5,38.8,37.4,10,10.3,8.7,2
  2015,7522,7117,5450,1667,405,42.9,43.2,41.2,38.8,39,37.6,10,10.3,9.1,2
  2014,7307,6861,5172,1689,446,42.6,42.9,41.4,38.4,38.5,38.1,10.4,10.5,9.8,1.9
  2013,7525,7133,5471,1662,392,42.4,43,40.1,38.2,38.6,36.7,10.4,10.8,9.2,1.8
  2012,7237,6893,5306,1587,344,41.6,42,40.3,38,38.4,36.6,10.3,10.9,8.6,1.8
  2011,7604,7234,5696,1538,370,41.3,41.6,39.5,37.7,37.9,36.5,10.5,11.1,8.4,1.8
  2010,7338,6969,5433,1536,369,41,41.5,38.9,37.4,37.7,35.8,10.6,11,9,1.9
  2009,7280,6927,5416,1511,353,40.5,40.9,38.6,36.9,37.2,35.5,10.1,10.5,8.5,2.1
  2008,7134,6771,5170,1601,363,39.9,40.4,38.5,36.3,36.5,35,9.9,10.4,8.1,2.3
  2007,7110,6697,5102,1595,413,39.8,40.1,38.2,36.1,36.4,34.6,9.6,10,8,2
  2006,6904,6527,4745,1782,377,39.6,40.1,38.1,35.7,36.2,34.3,9.6,10.1,7.8,2.1
  2005,6721,6393,4703,1690,328,39.1,39.5,38.3,35.4,35.7,34.4,9.3,9.8,7.7,2.2
  2004,6188,5850,4193,1657,338,39,40,37.2,35.3,35.9,33.5,9.2,9.9,7.3,2.1
  2003,6368,6100,4188,1912,268,39.2,39.9,37.6,35.7,36.2,34.6,9.6,10.4,7.7,2.3
  2002,5809,5522,4006,1516,287,38.7,39.2,37.8,35.6,35.8,34.8,9.6,10.1,8.5,2.2
