,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,
Topic: Total Marriages,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Marriages, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Series,Total Marriages ,Total Marriages -> First Marriages ,Total Marriages -> Remarriages ,Total Marriages -> Remarriages -> Remarriages - One Partner ,Total Marriages -> Remarriages -> Remarriages - Both Partners ,Resident Marriages ,Proportion Of First Marriages - Grooms ,Proportion Of First Marriages - Brides ,Proportion Of Grooms Aged Below 21 Years ,"Proportion Of Grooms Aged Below 21 Years -> Under The Women's Charter ",Proportion Of Grooms Aged Below 21 Years -> Under The Administration Of Muslim Law Act ,Proportion Of Brides Aged Below 21 Years ,"Proportion Of Brides Aged Below 21 Years -> Under The Women's Charter ",Proportion Of Brides Aged Below 21 Years -> Under The Administration Of Muslim Law Act ,Proportion Of Inter-Ethnic Marriages 
  2022,29389,23112,6277,3880,2397,27237,84.6,85.8,0.3,0.1,1,0.8,0.3,2.6,16.6
  2021,28329,22808,5521,3568,1953,26006,86.5,87.1,0.3,0.1,0.8,0.8,0.3,2.3,15.3
  2020,22651,17789,4862,3104,1758,20981,85.2,85.5,0.4,0.2,0.9,1,0.6,2.5,16.9
  2019,25434,19356,6078,3854,2224,23878,82.9,84.5,0.4,0.2,1,0.9,0.4,2.6,18.4
  2018,27007,20822,6185,3976,2209,25392,83.6,85.3,0.3,0.2,0.7,1,0.5,2.7,18
  2017,28212,21806,6406,4227,2179,26348,84.1,85.5,0.4,0.2,1,1.3,0.7,3.3,17.7
  2016,27971,21364,6607,4423,2184,25927,83.4,85.2,0.4,0.3,1,1.4,0.9,3.1,17.9
  2015,28322,21639,6683,4442,2241,26020,83.2,85.2,0.5,0.2,1.5,1.7,1.1,4.2,17.8
  2014,28407,21555,6852,4682,2170,26238,83,85.3,0.5,0.3,1.3,1.7,1.2,4,17
  2013,26254,19706,6548,4432,2116,24038,82.2,84.8,0.6,0.4,1.2,2.3,1.6,5.2,17.8
