,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Total Marriages,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Marriage Rates, Annual",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Male General Marriage Rate ,Male General Marriage Rate -> 15 - 19 Years ,Male General Marriage Rate -> 20 - 24 Years ,Male General Marriage Rate -> 25 - 29 Years ,Male General Marriage Rate -> 30 - 34 Years ,Male General Marriage Rate -> 35 - 39 Years ,Male General Marriage Rate -> 40 - 44 Years ,Male General Marriage Rate -> 45 - 49 Years ,Male General Marriage Rate -> 50 - 54 Years ,Male General Marriage Rate -> 55 - 59 Years ,Male General Marriage Rate -> 60 - 64 Years ,Male General Marriage Rate -> 65 Years & Over ,Female General Marriage Rate ,Female General Marriage Rate -> 15 - 19 Years ,Female General Marriage Rate -> 20 - 24 Years ,Female General Marriage Rate -> 25 - 29 Years ,Female General Marriage Rate -> 30 - 34 Years ,Female General Marriage Rate -> 35 - 39 Years ,Female General Marriage Rate -> 40 - 44 Years ,Female General Marriage Rate -> 45 - 49 Years ,Female General Marriage Rate -> 50 - 54 Years ,Female General Marriage Rate -> 55 - 59 Years ,Female General Marriage Rate -> 60 - 64 Years ,Female General Marriage Rate -> 65 Years & Over ,Crude Marriage Rate 
  2022,47,0.4,8.2,72.1,132.5,87.1,50.5,31.8,25,16.7,11.1,4.3,45.5,1.2,17.6,99.7,117.4,56,22.5,12.9,7.6,3.9,1.9,0.4,6.7
  2021,45.3,0.3,8.6,72.2,120.6,81,47.8,27,16.1,11.3,7.1,2.9,44.2,1.1,18.8,100.9,106.4,49,19.2,9.5,6.8,2.8,1.7,0.3,6.5
  2020,35.7,0.4,7.9,59.1,97.3,65,36.9,23.2,14.9,9.5,6,2.6,34.9,1.2,16.7,79.9,81.6,39.9,17.3,9.1,5.6,2.6,1.3,0.2,5.2
  2019,40.7,0.5,7.9,65.8,109.8,90.3,53.4,33.1,20.6,15.8,11.4,4.1,37.9,1.2,16.4,88.6,95.5,46.8,21.4,11,6.5,3.4,1.5,0.3,5.9
  2018,43.3,0.3,9,74.6,120.3,91.7,52.3,33.3,22.2,15.9,10.7,3.8,40.8,1.2,18.4,99.8,100,48,22,12.1,6.3,2.8,1.5,0.2,6.4
  2017,45.7,0.4,9.3,81.7,130.1,90.9,59.8,37.1,24.4,16.1,10.6,3.9,42.8,1.5,19.8,108.8,101.6,51.2,22.4,12,5.6,2.9,1.3,0.2,6.6
  2016,44.4,0.4,9.2,78.2,131.2,88.8,58.3,35.5,21.4,14.5,12.5,4,41.6,1.7,19.9,106.8,105.8,48.9,21.3,11.7,5.5,2.4,1.4,0.2,6.6
  2015,44.2,0.6,10.1,76.4,132.5,90.6,54.6,36.3,23.4,17.3,12.5,4,41.1,1.7,20.9,107.2,106.5,48.2,21.1,10.4,6.7,2.6,1.3,0.2,6.7
  2014,44.4,0.5,10.7,77,127.2,89.1,61,35.7,26.6,17.6,12.4,3.9,40.8,1.7,22.3,103.8,105.3,44.3,19.5,11.7,5.4,2.8,1,0.1,6.8
  2013,40.5,0.6,10.9,71.5,109.9,86.2,56,36,26.8,16.1,11.9,4.1,36.9,2.2,21.3,97.4,89.2,44.6,19.4,10.2,5.2,2.7,0.9,0.2,6.3
