,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,
Topic: Total Divorces,,,,,,,,,,,,,,,,,
"Table Title: Divorce Rates, Annual",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Series,Male General Divorce Rate ,Male General Divorce Rate -> 20 - 24 Years ,Male General Divorce Rate -> 25 - 29 Years ,Male General Divorce Rate -> 30 - 34 Years ,Male General Divorce Rate -> 35 - 39 Years ,Male General Divorce Rate -> 40 - 44 Years ,Male General Divorce Rate -> 45 - 49 Years ,Male General Divorce Rate -> 50 Years And Over ,Female General Divorce Rate ,Female General Divorce Rate -> 20 - 24 Years ,Female General Divorce Rate -> 25 - 29 Years ,Female General Divorce Rate -> 30 - 34 Years ,Female General Divorce Rate -> 35 - 39 Years ,Female General Divorce Rate -> 40 - 44 Years ,Female General Divorce Rate -> 45 - 49 Years ,Female General Divorce Rate -> 50 Years And Over ,Crude Divorce Rate 
  2022,6.2,17,13.7,9.9,10.5,9.4,8,3.6,5.9,22.3,12.2,10.2,9.7,8.1,7,2.7,1.7
  2021,7.2,25.3,16.1,13.2,12.9,10.7,9,4,6.9,25.5,15.1,13.2,11.8,9.6,8.1,2.9,1.9
  2020,6.3,25.9,14.6,12.1,11.8,9.4,7.9,3.2,6.1,27.5,14,12.1,10,8.1,6.5,2.4,1.7
  2019,6.9,30.6,16,12.6,11.6,9.9,8.5,3.7,6.5,30,15.3,11.7,10.8,8.6,6.9,2.7,1.9
  2018,6.7,28.6,15.6,12.1,11.8,9.7,8.5,3.4,6.3,27.7,14.7,11.8,10.2,8.2,6.5,2.4,1.8
  2017,6.9,25.9,16.8,12.5,11.5,10.2,7.7,3.7,6.5,27.9,14.3,12.1,9.9,8.3,6.9,2.6,1.9
  2016,7.1,27.6,16.7,12.6,12.8,9.6,8.4,3.6,6.6,28.6,15.1,11.9,10.1,8.4,6.2,2.6,1.9
  2015,7.1,30.8,17.8,12.5,11.7,10.1,8.3,3.7,6.6,26.3,15.3,11.6,9.6,8.8,6.4,2.6,1.9
  2014,7,25.3,20.2,13.1,11.6,9.9,7.7,3.5,6.5,23.5,16,11.7,10.1,8.3,6.1,2.4,1.9
  2013,7.3,25.8,21.7,13.1,12,9.8,8.5,3.6,6.9,26.7,17.5,12.4,10.3,8,6.3,2.5,1.9
  2012,7.1,28.4,21.7,13.3,11.9,9.4,7.6,3.3,6.7,29.1,15.8,12,10,8.2,5.6,2.4,1.9
  2011,7.6,26.6,20.3,14,12.7,10,7.7,3.5,7.2,27.8,17.8,12,11,8.5,6.2,2.4,2
  2010,7.5,24.9,16.3,14.6,12.5,9.6,7.5,3.3,7.2,24.4,15,12.8,10.7,7.9,6.2,2.4,1.9
  2009,7.5,27.3,17.4,15.1,12.5,9.2,7.2,3.3,7.1,22.5,15,13.2,10.7,7.2,5.8,2.3,1.9
  2008,7.5,32.9,19.1,16,12.3,8.7,6.6,3.1,7.3,28.1,16.8,14,10,7,5.4,2.3,1.9
  2007,7.7,35.7,20.2,16,11.9,8.5,6.8,3.2,7.4,28.5,18,13.5,9.7,6.7,5,2.5,2
  2006,7.7,32.7,21,16.2,11.8,8.2,6.7,3.1,7.4,28.1,17.3,14,9.2,6.8,4.8,2.3,1.9
  2005,7.6,32.1,19.1,15.9,11.7,7.7,6.4,3,7.3,25.7,16.9,13.6,8.8,6.5,5,2.3,1.9
  2004,7.1,37.2,21,14.8,9.4,7.5,5.6,2.9,6.9,28,16.3,12.2,7.9,6.1,4.4,2.1,1.8
  2003,7.8,30,19.4,14,11.5,8.3,6.5,3.2,7.8,27.1,16.7,12.8,9.8,7,5,2.5,1.9
  2002,7.1,42.7,17.3,13.4,10.6,7.1,5.7,2.7,7.1,26.2,15.9,11.8,8.3,6.4,4.7,2,1.7
  2001,6.2,30.2,14.8,11.1,7.8,6.8,5.6,2.4,6.4,23.2,14,9.1,7.3,5.6,4.5,1.9,1.5
  2000,6.5,26.2,14.1,10.6,8.9,6.8,5.7,2.6,6.5,20.7,13.2,9.8,7.4,5.8,4.6,2,1.6
  1999,6.8,32,15.1,11,9.1,7.4,5.9,2.7,6.9,21.8,13.4,10,7.9,6.4,4.8,2,1.6
  1998,7.4,27.2,18.2,11.5,9.8,7.6,6.1,3.1,7.5,26.6,14.2,10.9,8.2,6.6,5.6,2.1,1.8
  1997,6.6,20.5,13.7,10.8,8.6,6.7,5.5,2.5,6.6,19.1,13.5,9.2,7.3,5.6,4.5,1.9,1.6
  1996,6.4,15.5,12.2,9.6,8.6,7.1,5.7,2.3,6.5,15.6,11.4,9.2,7.5,6.3,4.7,1.4,1.5
  1995,6.1,14.9,12,9.7,8.4,6.6,5.5,2,6.1,15.6,11.1,8.6,7.5,5.5,4,1.4,1.4
  1994,5.5,16.2,11.4,9,7,5.6,4.5,1.7,5.5,14.9,10,7.7,6.1,4.9,3.3,1.2,1.3
  1993,6,12.4,13.7,9.9,7.8,6.2,4.5,1.9,6.1,16.7,11.3,9.1,6.6,4.8,3.6,1.2,1.4
  1992,6.2,16.9,13.2,9.7,7.8,6.4,4.5,2,6.2,15.6,12,8.5,6.8,5.1,3.6,1.3,1.4
  1991,7,23.4,15.9,11.4,9,6.8,4.6,1.9,7.1,18.6,14.4,10.1,7.4,5.2,3.9,1.1,1.6
  1990,6.1,13.4,13.3,10.6,7.5,5.7,4.1,1.6,6.1,13.9,12.8,8.4,6.1,4.5,2.7,0.8,1.3
  1989,5,12.1,13.4,8.1,6.4,4.9,3.2,1.1,5.1,17,11.2,6.5,5,3.4,1.9,0.8,1.1
  1988,5.2,16.1,12.8,8.1,6.6,4.9,3.5,1.1,5.2,18,11.1,6.5,5.3,3.3,2,0.8,1.1
  1987,4.9,17.9,11.8,7.4,6.1,5.1,3,1.1,5,14.2,10.3,6.6,4.7,3.2,2.1,0.6,1.1
  1986,4.9,12.5,10.2,8,6.4,4.7,3.1,1.3,5,12.8,10.2,6.6,4.9,2.7,2.3,0.8,1
  1985,4.6,13.4,9.5,7.8,5.6,3.9,2.7,1.1,4.6,12.7,9.4,6,4.2,2.6,2.1,0.6,0.9
  1984,4.6,12.1,9.5,7.6,5.8,4.2,2.8,1.1,4.6,11.3,8.9,6.5,4.5,2.7,1.8,0.6,0.9
