Data Series,Total (Number),Chinese (Number),Indians (Number),Others (Number),Inter-Ethnic (Number)
2022,23379,17257,1414,1202,3506
2021,22101,16681,1341,1131,2948
2020,17124,12454,926,1130,2614
2019,19889,14207,1154,1072,3456
2018,21308,15557,1094,1167,3490
2017,22162,16116,1168,1302,3576
2016,22017,15944,1045,1342,3686
2015,22544,16238,1073,1524,3709
2014,22863,16750,1093,1498,3522
2013,21180,14948,1078,1654,3500
2012,23134,16387,1059,1844,3844
2011,22840,16500,996,1702,3642
2010,20230,14535,913,1498,3284
2009,22060,16374,962,1537,3187
2008,20389,15738,886,1152,2613
2007,19853,15602,867,887,2497
2006,19761,16063,822,580,2296
2005,19042,15534,851,498,2159
2004,18091,14296,736,362,1594
2003,18091,14415,694,322,1525
2002,19257,16113,886,402,1856
2001,18279,15150,851,430,1848
2000,18550,15738,845,331,1636
1999,21561,18689,877,336,1659
1998,18971,16078,999,369,1525
1997,21300,18760,946,282,1312
1996,19935,17242,1087,305,1301
1995,20553,17972,1020,270,1291
1994,20243,17681,1044,205,1313
1993,20692,18290,1095,168,1139
1992,21025,18709,1069,194,1053
1991,19985,17740,1128,186,931
1990,19191,16899,1140,158,994
1989,18546,16468,1134,157,787
1988,19782,17750,1088,147,797
1987,18635,16769,1050,141,675
1986,15375,13705,987,141,542
1985,18495,16603,1117,121,654
1984,19973,18049,1076,155,693
