Data Series,Total Population Growth ,Total Population ,Singapore Citizen Population ,Sex Ratio ,Resident Population Growth ,Resident Population ,Resident Natural Increase ,Rate Of Natural Increase ,Population Density ,Permanent Resident Population ,Old-Age Support Ratio: Residents Aged 20-64 Years Per Resident Aged 65 Years & Over ,Old-Age Support Ratio: Residents Aged 15-64 Years Per Resident Aged 65 Years & Over ,Old-Age Support Ratio: Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over ,Old-Age Support Ratio: Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over ,Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years ,Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years ,Non-Resident Population ,Median Age Of Resident Population ,Median Age Of Citizen Population ,Child Dependency Ratio: Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years ,Child Dependency Ratio: Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years ,Child Dependency Ratio: Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years ,Child Dependency Ratio: Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years ,Age Dependency Ratio: Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years ,Age Dependency Ratio: Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Age Dependency Ratio: Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years 
2023,5,5917648,3610658,950,1.9,4149253,4951,1.2,8058,538595,3.7,4,3.2,3.5,27.2,25.2,31.3,28.9,1768395,42.4,43,30,20.4,32.6,22.3,57.2,45.6,63.9,51.1
2022,3.4,5637022,3553749,955,2.2,4073239,6704,1.6,7688,519490,3.8,4.1,3.3,3.6,26,24.1,29.9,27.6,1563783,42.1,42.8,30.3,20.7,32.8,22.4,56.3,44.8,62.7,50
2021,-4.1,5453566,3498191,960,-1.4,3986842,10913,2.7,7485,488651,4,4.3,3.5,3.8,24.9,23.1,28.5,26.2,1466724,41.8,42.5,30.5,20.8,33,22.5,55.4,43.9,61.4,48.7
2020,-0.3,5685807,3523191,957,0.4,4044210,13248,3.3,7810,521019,4.3,4.6,3.7,4.1,23.4,21.6,26.8,24.6,1641597,41.5,42.2,30.6,20.7,32.9,22.2,54,42.3,59.7,46.8
2019,1.2,5703569,3500940,957,0.8,4026209,15042,3.7,7866,525269,4.5,4.9,4,4.3,22.1,20.4,25.3,23.2,1677360,41.1,42,30.9,20.7,33.1,22,53,41.1,58.4,45.2
2018,0.5,5638676,3471936,959,0.7,3994283,14945,3.7,7804,522347,4.8,5.2,4.2,4.6,20.8,19.2,23.8,21.8,1644393,40.8,41.7,31.1,20.7,33.2,21.9,51.9,39.9,57,43.7
2017,0.1,5612253,3439177,961,0.8,3965796,15681,4,7796,526619,5.1,5.5,4.4,4.9,19.7,18.1,22.6,20.6,1646457,40.5,41.3,31.6,20.8,33.7,21.9,51.3,38.9,56.2,42.5
2016,1.3,5607283,3408943,963,0.8,3933559,18019,4.6,7797,524616,5.4,5.8,4.7,5.1,18.7,17.1,21.4,19.4,1673724,40,41,32,20.9,34.1,21.9,50.7,38,55.5,41.3
2015,1.2,5535002,3375023,965,0.8,3902690,19221,4.9,7697,527667,5.7,6.2,4.9,5.4,17.7,16.2,20.3,18.4,1632312,39.6,40.7,32.5,21.2,34.7,22.2,50.2,37.4,54.9,40.6
2014,1.3,5469724,3343030,967,0.7,3870739,19730,5.1,7615,527709,6,6.6,5.2,5.8,16.7,15.2,19.2,17.3,1598985,39.3,40.4,33.1,21.5,35.3,22.4,49.8,36.7,54.4,39.8
